"Attribute Manager","Attribute Manager"
"Attribute Manager Dashboard","Attribute Manager Dashboard"
"Analyze and manage your EAV attributes efficiently.","Analyze and manage your EAV attributes efficiently."
"Fill-Rate Distribution","Fill-Rate Distribution"
"View Details","View Details"
"Attribute Sets","Attribute Sets"
"Manage Sets","Manage Sets"
"Critical Attributes","Critical Attributes"
"Quick Actions","Quick Actions"
"Run Fill-Rate Analysis","Run Fill-Rate Analysis"
"Find Duplicates","Find Duplicates"
"Browse Attributes","Browse Attributes"
"Approval Queue","Approval Queue"
"Recent Activity","Recent Activity"
"Dashboard","Dashboard"
"Analysis","Analysis"
"Fill-Rate Report","Fill-Rate Report"
"Duplicate Detection","Duplicate Detection"
"Format Chaos","Format Chaos"
"Attributes","Attributes"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Enable or disable the Attribute Manager functionality.","Enable or disable the Attribute Manager functionality."
"Default Entity Type","Default Entity Type"
"Primary entity type for analysis (catalog_product, catalog_category, customer, etc.)","Primary entity type for analysis (catalog_product, catalog_category, customer, etc.)"
"Fill-Rate Analysis","Fill-Rate Analysis"
"Critical Threshold (%)","Critical Threshold (%)"
"Attributes below this fill-rate are marked as critical. Default: 25","Attributes below this fill-rate are marked as critical. Default: 25"
"Warning Threshold (%)","Warning Threshold (%)"
"Attributes below this fill-rate are marked as warning. Default: 50","Attributes below this fill-rate are marked as warning. Default: 50"
"Exclude System Attributes","Exclude System Attributes"
"Duplicate Detection","Duplicate Detection"
"Similarity Threshold (%)","Similarity Threshold (%)"
"Minimum similarity for duplicate detection. Default: 70","Minimum similarity for duplicate detection. Default: 70"
"Compare Labels","Compare Labels"
"Also compare frontend labels for duplicates.","Also compare frontend labels for duplicates."
"Approval Workflow","Approval Workflow"
"Enable Approval Workflow","Enable Approval Workflow"
"Require approval for bulk attribute changes.","Require approval for bulk attribute changes."
"Notification Email","Notification Email"
"Email address for approval notifications.","Email address for approval notifications."
"Auto-Approve Threshold","Auto-Approve Threshold"
"Changes affecting fewer products than this are auto-approved. 0 = always require approval.","Changes affecting fewer products than this are auto-approved. 0 = always require approval."
"Internationalization","Internationalization"
"Default Locale for Labels","Default Locale for Labels"
"Export All Locales","Export All Locales"
"Include all store view labels in exports.","Include all store view labels in exports."
"Attribute Manager is currently disabled. Enable it in Stores > Configuration > FlipDev Extensions > Attribute Manager.","Attribute Manager is currently disabled. Enable it in Stores > Configuration > FlipDev Extensions > Attribute Manager."
"Total Attributes","Total Attributes"
"Average Fill-Rate","Average Fill-Rate"
"Critical","Critical"
"Warning","Warning"
"Healthy","Healthy"
"Products","Products"
"No critical attributes found.","No critical attributes found."
"No recent activity.","No recent activity."
"Pending","Pending"
"Approved","Approved"
"Rejected","Rejected"
"Executed","Executed"
"Failed","Failed"
"Attribute Merge","Attribute Merge"
"Set Migration","Set Migration"
"Attribute Delete","Attribute Delete"
"Are you sure you want to approve selected proposals?","Are you sure you want to approve selected proposals?"
"Approve Proposals","Approve Proposals"
"Approve","Approve"
"Are you sure you want to reject selected proposals?","Are you sure you want to reject selected proposals?"
"Reject Proposals","Reject Proposals"
"Reject","Reject"
"Are you sure you want to delete selected proposals?","Are you sure you want to delete selected proposals?"
"Delete Proposals","Delete Proposals"
"Delete","Delete"
"ID","ID"
"Type","Type"
"Reason","Reason"
"Status","Status"
"Created At","Created At"
"Approved At","Approved At"
"View","View"
"Execute","Execute"
"Approve Proposal","Approve Proposal"
"Are you sure you want to approve this proposal?","Are you sure you want to approve this proposal?"
"Reject Proposal","Reject Proposal"
"Are you sure you want to reject this proposal?","Are you sure you want to reject this proposal?"
"Delete Proposal","Delete Proposal"
"Are you sure you want to delete this proposal?","Are you sure you want to delete this proposal?"
"Execute Proposal","Execute Proposal"
"Are you sure you want to execute this proposal?","Are you sure you want to execute this proposal?"
"Attribute Code","Attribute Code"
"Label","Label"
"Fill Rate (%)","Fill Rate (%)"
"Filled","Filled"
"Total Products","Total Products"
"Critical (< 25%)","Critical (< 25%)"
"Warning (25-50%)","Warning (25-50%)"
"Healthy (> 50%)","Healthy (> 50%)"
"Export CSV","Export CSV"
"Refresh","Refresh"
"Proposal not found","Proposal not found"
"Proposal must be approved before execution","Proposal must be approved before execution"
"Unknown proposal type: %1","Unknown proposal type: %1"
